Kennziffer;Raumeinheit;Aggregat;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung
"05166";"Viersen";"Landkreis";"79,9";"82,6";"79,8";"77,5";"71,4";"72,8";"75,6"
"05170";"Wesel";"Landkreis";"81,2";"84,0";"80,6";"79,2";"72,0";"73,3";"76,4"
"05314";"Bonn, Stadt";"krsfr. Stadt";"82,9";"84,5";"82,2";"80,3";"75,7";"76,5";"78,7"
"05315";"Köln, Stadt";"krsfr. Stadt";"78,0";"80,7";"76,7";"75,9";"70,0";"71,9";"75,4"
"05316";"Leverkusen, Stadt";"krsfr. Stadt";"80,1";"82,5";"78,9";"77,1";"70,2";"71,2";"74,4"
"05334";"Städteregion Aachen";"Landkreis";"81,8";"83,7";"79,6";"77,1";"70,9";"72,4";"76,4"
"05358";"Düren";"Landkreis";"81,8";"83,5";"79,5";"76,4";"71,1";"71,9";"75,2"
"05362";"Rhein-Erft-Kreis";"Landkreis";"82,3";"84,1";"80,6";"78,6";"72,5";"72,3";"76,5"
"05366";"Euskirchen";"Landkreis";"81,5";"82,0";"78,6";"75,9";"69,4";"70,7";"74,4"
"05370";"Heinsberg";"Landkreis";"81,4";"82,8";"78,8";"75,8";"69,2";"70,5";"74,1"
"05374";"Oberbergischer Kreis";"Landkreis";"81,4";"83,6";"80,1";"76,4";"70,0";"71,1";"74,4"
"05378";"Rheinisch-Bergischer Kreis";"Landkreis";"84,3";"85,9";"83,6";"82,0";"76,6";"77,5";"79,4"
"05382";"Rhein-Sieg-Kreis";"Landkreis";"83,3";"85,0";"82,2";"79,8";"73,4";"74,4";"78,5"
"05512";"Bottrop, Stadt";"krsfr. Stadt";"80,8";"84,2";"79,4";"78,6";"70,4";"70,9";"74,5"
"05513";"Gelsenkirchen, Stadt";"krsfr. Stadt";"75,5";"79,4";"74,0";"72,6";"64,1";"64,4";"67,4"
"05515";"Münster, Stadt";"krsfr. Stadt";"84,2";"86,2";"83,9";"82,3";"77,1";"78,5";"81,8"
"05554";"Borken";"Landkreis";"81,1";"84,2";"81,6";"79,8";"73,0";"74,4";"77,6"
"05558";"Coesfeld";"Landkreis";"83,7";"86,3";"83,8";"82,0";"76,5";"77,7";"80,6"
"05562";"Recklinghausen";"Landkreis";"80,3";"83,8";"79,0";"77,3";"70,7";"70,7";"73,4"
"05566";"Steinfurt";"Landkreis";"81,8";"85,0";"82,1";"79,9";"73,5";"74,6";"77,4"
"05570";"Warendorf";"Landkreis";"82,6";"85,8";"82,7";"79,8";"73,1";"74,4";"77,4"
"05711";"Bielefeld, Stadt";"krsfr. Stadt";"81,2";"84,4";"80,8";"78,7";"72,0";"71,7";"74,8"
"05754";"Gütersloh";"Landkreis";"80,7";"84,2";"81,1";"78,7";"71,6";"71,8";"75,0"
"05758";"Herford";"Landkreis";"81,1";"83,9";"80,3";"77,6";"70,1";"70,3";"73,1"
"05762";"Höxter";"Landkreis";"82,7";"84,9";"82,1";"79,1";"72,7";"72,8";"75,9"
"05766";"Lippe";"Landkreis";"81,3";"84,1";"81,7";"78,4";"71,9";"71,8";"74,5"
"05770";"Minden-Lübbecke";"Landkreis";"79,6";"82,7";"79,5";"76,7";"69,4";"69,7";"73,1"
"05774";"Paderborn";"Landkreis";"80,2";"83,0";"80,1";"77,2";"69,8";"70,2";"74,4"
"05911";"Bochum, Stadt";"krsfr. Stadt";"80,7";"83,9";"79,7";"77,9";"70,3";"71,4";"74,7"
"05913";"Dortmund, Stadt";"krsfr. Stadt";"79,0";"82,3";"78,6";"72,5";"68,0";"67,4";"71,7"
"05914";"Hagen, Stadt";"krsfr. Stadt";"77,8";"80,6";"75,5";"74,4";"67,0";"66,3";"70,1"
"05915";"Hamm, Stadt";"krsfr. Stadt";"79,7";"81,9";"77,1";"74,9";"68,5";"68,9";"71,7"
"05916";"Herne, Stadt";"krsfr. Stadt";"78,2";"81,7";"76,1";"74,4";"66,4";"67,3";"69,5"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"82,4";"84,7";"79,0";"78,8";"72,6";"73,1";"75,9"
"05958";"Hochsauerlandkreis";"Landkreis";"82,4";"84,5";"81,3";"77,4";"71,9";"72,9";"75,4"
"05962";"Märkischer Kreis";"Landkreis";"78,5";"82,0";"77,5";"75,1";"68,3";"69,2";"71,4"
"05966";"Olpe";"Landkreis";"82,2";"83,9";"81,0";"78,6";"72,4";"73,0";"75,9"
"05970";"Siegen-Wittgenstein";"Landkreis";"81,9";"83,6";"80,1";"77,2";"71,1";"71,8";"75,6"
"05974";"Soest";"Landkreis";"80,3";"83,5";"79,7";"77,3";"70,2";"71,5";"74,5"
"05978";"Unna";"Landkreis";"81,6";"84,6";"80,4";"78,3";"71,5";"72,1";"74,5"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"80,6";"81,7";"78,2";"76,8";"73,2";"72,9";"77,9"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"79,0";"79,7";"75,7";"74,5";"70,8";"69,4";"74,1"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"77,4";"77,9";"72,7";"69,5";"64,8";"63,8";"66,4"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"79,8";"80,5";"75,7";"74,3";"70,0";"68,4";"73,0"
"06431";"Bergstraße";"Landkreis";"81,9";"83,8";"79,2";"77,9";"72,9";"72,4";"77,7"
"06432";"Darmstadt-Dieburg";"Landkreis";"82,5";"83,8";"80,6";"79,1";"74,6";"74,0";"78,6"
"06433";"Groß-Gerau";"Landkreis";"82,5";"83,6";"79,3";"78,2";"72,8";"71,1";"75,1"
"06434";"Hochtaunuskreis";"Landkreis";"84,0";"85,5";"82,4";"82,2";"78,8";"77,4";"81,3"
